file	fac1	fac2	fac3	fac4	fac5	fac6
tweet_00000002	-2	1	0	0	0	0
tweet_00000003	-3	2	0	0	0	1
tweet_00000004	0	0	-1	0	0	0
tweet_00000005	0	0	-1	0	0	0
tweet_00000006	1	1	0	-1	0	0
tweet_00000007	0	1	0	0	1	0
tweet_00000008	0	-1	0	-1	2	1
tweet_00000009	1	-2	-1	-1	3	2
tweet_00000010	0	1	0	-1	0	0
tweet_00000011	1	2	1	-1	0	0
tweet_00000015	0	-1	0	0	1	0
tweet_00000016	1	-1	0	0	3	0
tweet_00000017	1	-1	0	0	0	0
tweet_00000018	2	-1	0	0	0	0
tweet_00000019	0	1	0	0	0	0
tweet_00000020	1	2	0	0	0	0
tweet_00000021	1	1	0	0	1	0
tweet_00000022	-1	3	0	0	0	0
tweet_00000023	0	4	0	0	0	0
tweet_00000024	0	0	0	-2	0	0
tweet_00000025	0	1	0	-3	0	0
tweet_00000026	4	0	0	0	0	0
tweet_00000027	2	1	0	0	0	0
tweet_00000030	1	2	0	0	0	0
tweet_00000031	2	2	0	-3	0	1
tweet_00000032	0	2	0	-3	0	0
tweet_00000033	0	2	0	-1	0	0
tweet_00000034	-1	2	1	-1	0	0
tweet_00000035	-1	2	1	-1	2	0
tweet_00000037	-1	2	0	0	0	0
tweet_00000038	0	2	0	0	2	0
tweet_00000039	0	1	0	0	0	0
tweet_00000040	0	2	0	0	0	0
tweet_00000041	1	1	0	-1	2	0
tweet_00000042	0	1	0	0	0	0
tweet_00000043	-1	5	0	0	0	0
tweet_00000044	0	3	0	-1	0	0
tweet_00000045	-1	2	0	-1	0	0
tweet_00000046	1	0	1	0	0	0
tweet_00000047	0	0	0	0	0	0
tweet_00000048	0	1	0	0	1	0
tweet_00000049	1	1	0	0	0	0
tweet_00000050	1	1	0	0	0	0
tweet_00000051	-1	2	0	-1	-1	0
tweet_00000052	0	2	0	0	1	0
tweet_00000053	0	0	0	0	1	0
tweet_00000054	1	1	-1	0	0	0
tweet_00000055	0	-1	0	0	0	0
tweet_00000056	2	0	0	0	0	0
tweet_00000057	0	2	0	0	0	0
tweet_00000058	0	1	1	-1	0	0
tweet_00000059	1	3	0	-4	-1	1
tweet_00000060	0	2	0	0	0	0
tweet_00000061	0	0	0	-1	0	0
tweet_00000062	-1	-2	0	0	2	0
tweet_00000064	1	-2	0	0	1	2
tweet_00000065	-1	4	0	0	0	0
tweet_00000066	0	0	0	0	0	0
tweet_00000067	0	1	0	0	0	0
tweet_00000068	0	1	0	-1	0	0
tweet_00000069	0	2	0	0	0	1
tweet_00000070	-1	4	0	0	0	0
tweet_00000071	-1	2	0	0	0	0
tweet_00000072	0	0	0	0	0	0
tweet_00000073	1	2	0	-1	0	0
tweet_00000074	-1	3	0	-2	0	0
tweet_00000075	1	-3	0	0	3	2
tweet_00000077	0	2	0	0	0	0
tweet_00000078	-1	2	0	-1	0	0
tweet_00000080	1	1	0	0	0	0
tweet_00000081	0	3	0	-1	0	0
tweet_00000082	0	2	1	-1	0	1
tweet_00000083	-2	0	0	0	0	0
tweet_00000084	-2	0	0	0	0	-1
tweet_00000086	1	-2	0	0	0	0
tweet_00000087	0	0	0	0	1	0
tweet_00000088	0	1	0	0	1	0
tweet_00000089	2	1	0	-4	0	0
tweet_00000090	0	-1	0	-2	0	0
tweet_00000091	0	2	0	0	0	0
tweet_00000092	0	1	3	0	0	0
tweet_00000093	0	2	0	0	1	0
