_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	load	secondary
v000001	-0.08967057	0.6407848967	-0.125099102	-0.114181307	-0.1197522	-0.045714042		
v000002	0.4398514425	-0.023773305	-0.094499391	-0.054377446	0.1600806246	0.033144499		
v000003	-0.23514659	0.3649326469	0.1574768938	-0.178578112	-0.177347783	-0.126973527		
v000004	0.0609077211	-0.696464519	0.2583666955	0.0704209245	0.2892253097	-0.089406442		
v000005	-0.292947504	-0.180165061	-0.088335067	0.0520669885	-0.030912514	0.0787968475		
v000006	-0.060781739	-0.286909178	0.2868453406	0.2679635768	0.0005458023	0.2820604941		
v000007	-0.004486037	0.1951399491	0.0424516217	-0.013533816	-0.085393948	0.0225562348		
v000008	0.0770503773	-0.118772302	0.0887608718	-0.120100918	-0.025837802	-0.004133257		
v000009	0.0494083747	-0.283465721	-0.06622848	-0.131049099	0.2709413045	-0.027217011		
v000010	0.2112995569	0.1449356799	-0.03171248	-0.250430053	0.0827583272	0.0529502658		
v000011	0.0146860501	-0.108831909	0.0896306258	0.0638921022	0.0640734876	0.2760284577		
v000012	0.1272141691	0.1456577714	0.0136166836	-0.123330474	-0.035223	0.0610050426		
v000013	0.2660183093	0.1458828134	-0.036405368	-0.06919357	-0.085153272	0.0072434203		
v000014	-0.07116875	0.2442720926	-0.006283236	-0.064593017	-0.117640028	0.0446168611		
v000015	0.1617406561	0.067529377	-0.16812415	-0.184379284	-0.138496075	0.145780521		
v000016	-0.066973698	-0.126045644	-0.017155678	0.0285252762	-0.119665098	0.280720208		
v000017	0.0796130166	-0.4958918	-0.046553787	-0.038763413	0.251839114	-0.003945266		
v000018	0.1278865652	-0.097790741	-0.014277748	0.2526891316	0.1362690897	-0.202077136		
v000019	-0.161214384	-0.008825834	-0.10425008	-0.006056509	-0.063491824	0.0672495		
v000020	-0.022764373	0.0258977538	-0.050004735	-0.058022718	-0.080056858	0.2364506779		
v000021	-0.264445197	-0.034161015	0.3103551648	-0.13098616	0.075659186	-0.114132891		
v000022	-0.11382966	-0.019641789	0.277367115	-0.136015241	0.0549115027	0.0189828889		
v000024	-0.072324646	-0.304061022	-0.161440795	0.0271456136	-0.076513632	0.4181058091	fac2	1
v000025	0.089980948	-0.208158701	0.0515339803	0.1627923039	-0.179721987	0.312572875		
v000026	0.2258079874	0.4713218356	-0.078596277	-0.177733732	0.068150739	0.0806787861		
v000027	-0.075292255	0.2459756151	-0.054915526	-0.099512481	0.0299748179	0.0370867402		
v000028	0.010857253	-0.120913504	0.0618632518	-0.078438351	-0.15491443	0.3587248837		
v000029	-0.230835558	0.0249256217	0.2946710584	-0.112872693	0.0855474547	-0.064617753		
v000030	0.541993018	-0.027221626	-0.068848144	-0.113326243	0.0065912326	0.0149891861		
v000031	-0.087267103	-0.178842204	-0.483743122	-0.004599287	0.0311275769	0.6213408685	fac3	1
v000032	0.3795597091	0.5637139753	-0.147005365	-0.262452792	0.0513960261	0.091447126	fac1	1
v000033	-0.232554173	-0.011174995	0.0984068729	-0.002175326	-0.004089346	-0.01909102		
v000034	-0.088558054	0.4529308382	0.1469073152	-0.012471165	0.0949996404	-0.091294709		
v000035	-0.14635847	-0.054432912	-0.104304656	-0.421562034	-0.046598042	-0.030694634		
v000036	0.0832558571	0.0751126048	-0.296437296	-0.091310214	0.0819535132	0.2470217442		
v000037	0.11331242	-0.148999945	-0.089203861	0.1385615389	0.1584136469	0.1979435296		
v000038	-0.229966599	-0.119789661	-0.022115273	0.0091366149	0.0111856883	0.1024691549		
v000039	-0.007434838	0.0204880569	-0.184610236	0.0101322664	0.5145476246	-0.197030282		
v000040	-0.34973191	-0.019085578	0.1292270819	0.0768788091	-0.113648174	0.2306716285		
v000041	-0.103333816	0.0881715059	-0.017803639	-0.058275198	-0.136961684	-0.058006853		
v000042	-0.216797044	0.0806936941	-0.042694793	-0.014168674	-0.045817576	0.0442736937		
v000043	0.0654842586	-0.472282239	-0.079605738	0.0107820403	0.1563267567	0.4131204326	fac6	1
v000045	-0.178957451	0.0425033214	-0.007614659	-0.17294637	0.0233220046	-0.003730675		
v000046	0.123862545	0.0027523566	0.1151739171	0.0973047428	0.003662229	-0.028855893		
v000048	-0.24689106	-0.183006822	0.2433166513	-0.017356667	0.1309108483	-0.016149752		
v000050	-0.260034993	0.0016197935	0.0371096092	-0.029089021	-0.052774812	-0.028667148		
v000051	0.3960184633	-0.291413005	0.0988401272	-0.025114766	0.3085593128	0.0767976318	fac5	1
v000052	0.3503366096	0.2785053644	-0.061854721	-0.137291876	0.0651649149	-0.104070318		
v000053	0.0172046568	-0.037322031	0.1785479637	-0.013416546	0.0474203676	-0.102424074		
v000055	-0.270462518	0.1054968088	0.022760599	-0.046307656	0.5183469294	-0.183443349		
v000056	-0.042918984	-0.121785603	-0.028205274	0.0469872044	-0.082409538	0.1996242645		
v000058	0.2471617934	0.2083483398	-0.261813252	-0.26815038	-0.193468359	0.1840154943		
v000059	0.0215654489	0.1444947159	0.0387353332	-0.137811158	-0.08813898	-0.073174638		
v000060	0.0046407854	-0.130542439	-0.020865443	0.0145831891	0.2775459784	0.1702677633		
v000062	0.1771766542	-0.376328044	0.1052211722	0.2337307394	0.1979203113	-0.062220904		
v000063	-0.155815221	-0.454944513	0.0541234497	-0.023039732	0.0936613592	-0.097045511		
v000064	-0.256426233	0.0236029359	0.0246719437	-0.008768085	0.0331340859	0.013233608		
v000065	0.033167556	-0.032150744	-0.143807375	-0.102820306	0.0637468585	0.3917766977		
v000066	0.096961269	0.0532794082	-0.11917477	-0.256657755	-0.20654475	0.2003557618		
v000069	0.0406795964	-0.02136123	0.0592213916	-0.187781307	0.0605466344	0.1687794565		
v000070	0.2993286129	-0.202804272	0.0582742626	-0.056832656	-0.081394269	0.0538821117		
v000071	0.2910254541	0.1525220846	-0.011304879	-0.247251265	-0.317741443	0.0801940856		
