Name1	Name2	corr
faixa	etário	0.86806993
etário	faixa	0.86806993
gates	bill	0.8355368
bill	gates	0.8355368
barra	torre	0.81522429
torre	barra	0.81522429
varíola	macaco	0.78880594
macaco	varíola	0.78880594
tedro	danom	0.78375462
danom	tedro	0.78375462
news	fake	0.7427929
fake	news	0.7427929
&	gt	0.70740731
gt	&	0.70740731
sanitário	vigilância	0.68637108
vigilância	sanitário	0.68637108
nacional	vigilância	0.66887365
vigilância	nacional	0.66887365
mundial	organização	0.66627633
organização	mundial	0.66627633
sputnik	v	0.6573415
v	sputnik	0.6573415
&	amp	0.62291104
amp	&	0.62291104
danom	ghebreyesus	0.59329057
ghebreyesus	danom	0.59329057
efeito	colateral	0.5786114
colateral	efeito	0.5786114
tedro	ghebreyesus	0.56425713
ghebreyesus	tedro	0.56425713
agenciar	vigilância	0.56055517
vigilância	agenciar	0.56055517
unir	reino	0.54621368
reino	unir	0.54621368
américo	latino	0.53607838
latino	américo	0.53607838
sanitário	nacional	0.52120881
nacional	sanitário	0.52120881
África	sul	0.51792887
sul	África	0.51792887
butantan	instituto	0.49260449
instituto	butantan	0.49260449
prevenção	centro	0.47511712
centro	prevenção	0.47511712
saúde	organização	0.46359035
organização	saúde	0.46359035
governador	prefeito	0.45702387
prefeito	governador	0.45702387
agenciar	nacional	0.45626407
nacional	agenciar	0.45626407
diretor-geral	danom	0.44951402
danom	diretor-geral	0.44951402
agenciar	sanitário	0.44614856
sanitário	agenciar	0.44614856
evento	adverso	0.44033038
adverso	evento	0.44033038
tratamento	precoce	0.43870178
precoce	tratamento	0.43870178
sorar	anti-covid	0.43775636
anti-covid	sorar	0.43775636
controlar	centro	0.41904391
centro	controlar	0.41904391
clínico	ensaio	0.41778441
ensaio	clínico	0.41778441
saúde	mundial	0.41507042
mundial	saúde	0.41507042
tedro	diretor-geral	0.41081324
diretor-geral	tedro	0.41081324
queirogar	marcelo	0.40180911
marcelo	queirogar	0.40180911
aeroporto	avião	0.3940286
avião	aeroporto	0.3940286
estado	unir	0.3873158
unir	estado	0.3873158
usar	emergencial	0.38539561
emergencial	usar	0.38539561
científica	comprovação	0.37999311
comprovação	científica	0.37999311
vida	salvar	0.37794545
salvar	vida	0.37794545
medicina	conselho	0.36819322
conselho	medicina	0.36819322
registrar	definitivo	0.36217629
definitivo	registrar	0.36217629
opa	américo	0.36029652
américo	opa	0.36029652
diretor-geral	ghebreyesus	0.35953031
ghebreyesus	diretor-geral	0.35953031
origem	investigação	0.35574219
investigação	origem	0.35574219
variante	delta	0.35265883
delta	variante	0.35265883
saúde	ministério	0.350041
ministério	saúde	0.350041
farmacia	rápidar	0.33662159
rápidar	farmacia	0.33662159
anvisa	aprovar	0.33545236
aprovar	anvisa	0.33545236
venda	farmacia	0.33080225
farmacia	venda	0.33080225
opa	pan-americana	0.32891602
pan-americana	opa	0.32891602
controlar	prevenção	0.32433698
prevenção	controlar	0.32433698
isolamento	social	0.32269118
social	isolamento	0.32269118
oms	pandemia	0.32248007
usar	máscara	0.32141453
máscara	usar	0.32141453
butantan	butanvac	0.31823389
butanvac	butantan	0.31823389
dose	reforçar	0.31800677
reforçar	dose	0.31800677
#oms	#pandemia	0.3152488
#pandemia	#oms	0.3152488
#covid19	#oms	0.31003508
#oms	#covid19	0.31003508
deus	amor	0.30973171
amor	deus	0.30973171
doença	centro	0.30351591
centro	doença	0.30351591
social	distanciar	0.30327761
distanciar	social	0.30327761
europeu	união	0.29910204
união	europeu	0.29910204
sputnik	russa	0.29587421
russa	sputnik	0.29587421
variante	ômicron	0.29109424
ômicron	variante	0.29109424
#covid19	#pandemia	0.2910134
#pandemia	#covid19	0.2910134
#covid19	#coronavirus	0.2882738
#coronavirus	#covid19	0.2882738
governo	federal	0.27937538
federal	governo	0.27937538
anvisa	vacinar	0.26960921
vacinar	anvisa	0.26960921
receber	pedido	0.26956508
pedido	receber	0.26956508
