Strata	File Count	Label Count
000002	1	9
000003	1	5
000004	1	2
000007	1	14
000010	1	1
000011	1	13
000014	1	7
000016	1	3
000017	1	9
000018	1	4
000019	1	29
000020	1	5
000024	1	8
000025	1	17
000026	1	18
000027	1	1
000028	2	4
000029	1	6
000030	1	3
000033	1	1
000037	1	3
000039	1	2
000042	1	9
000043	1	2
000046	1	13
000047	1	2
000049	1	2
000051	1	8
000053	1	3
000056	1	7
000058	1	3
000062	1	1
000063	1	3
000065	1	22
000066	1	2
000069	3	8
000070	1	8
000072	1	22
000074	1	9
000075	1	21
000079	1	7
000080	1	4
000082	1	9
000084	1	25
000086	1	1
000087	1	30
000090	1	7
000092	1	2
000093	4	24
000097	1	4
000098	1	0
000099	1	3
000100	1	6
000108	1	6
000110	1	7
000113	1	5
000118	1	3
000120	1	6
000122	1	6
000124	1	1
000125	1	34
000127	1	9
000129	1	29
000130	1	0
000131	1	32
000135	1	13
000137	1	14
000139	1	3
000145	1	31
000150	1	20
000151	1	7
000152	1	18
000154	1	4
000156	1	3
000157	1	6
000158	1	10
000159	1	9
000161	1	3
000162	1	2
000168	1	5
000169	1	7
000173	1	6
000175	1	5
000177	1	3
000182	1	6
000184	1	2
000185	1	8
000186	1	17
000187	1	4
000193	1	5
000194	1	12
000195	1	6
000199	1	19
000202	1	1
000203	1	30
000207	1	11
000209	1	1
000211	2	6
000215	1	18
000217	1	14
000218	1	8
000219	1	15
000220	1	3
000222	3	17
000223	1	3
000225	1	4
000226	1	3
000227	1	11
000228	1	16
000229	1	4
000230	2	17
000232	1	7
000233	1	8
000234	1	15
000237	2	3
000238	1	7
000239	2	15
000242	1	9
000245	1	1
000247	1	33
000250	1	23
000251	1	2
000254	1	9
000255	1	19
000258	1	28
000260	1	32
000261	1	33
000262	1	2
000263	1	6
000265	1	3
000266	1	8
000269	1	17
000275	1	6
000276	1	25
000281	1	7
000284	1	17
000285	1	32
000289	1	17
000290	1	23
000293	1	0
000295	1	19
000296	2	17
000298	1	23
000299	1	9
000300	1	5
000303	1	10
000304	1	5
000306	1	17
000307	1	3
000309	1	6
000310	1	4
000314	1	0
000319	1	6
000322	1	6
000323	1	1
000326	1	2
000328	1	16
000331	1	9
000332	1	8
000333	1	4
000334	2	8
000335	1	12
000336	1	22
000337	1	0
000338	1	9
000339	1	13
000343	1	22
000344	1	1
000346	1	2
000348	1	3
000350	1	7
000351	1	5
000356	1	6
000357	1	8
000363	1	15
