photo_url	image_number
https://pbs.twimg.com/media/EUXpi9UXgAE7gDV.png	saude202003_n_00031_00000003.png
https://pbs.twimg.com/media/EUXoJlaWsAA5kqb.jpg	saude202003_n_00032_00000001.jpg
https://pbs.twimg.com/media/EUXnbvdWAAA7yD2.jpg	saude202003_n_00032_00000002.jpg
https://pbs.twimg.com/media/EUXmzZOWoAU1tDD.png	saude202003_n_00032_00000003.png
https://pbs.twimg.com/media/EUXl7GEXsAIilx7.jpg	saude202003_n_00032_00000004.jpg
https://pbs.twimg.com/media/EUXl7GHXgAE8KJB.jpg	saude202003_n_00032_00000005.jpg
https://pbs.twimg.com/media/EUXl7GjXYAAm2u4.jpg	saude202003_n_00032_00000006.jpg
https://pbs.twimg.com/media/EUXl7IiXkAElGOK.jpg	saude202003_n_00032_00000007.jpg
https://pbs.twimg.com/media/EUXlP0HX0AYDGHn.jpg	saude202003_n_00033_00000001.jpg
https://pbs.twimg.com/media/EUXknmzVAAELqjA.jpg	saude202003_n_00033_00000002.jpg
https://pbs.twimg.com/media/EUXf3LyXgAIVcV9.png	saude202003_n_00033_00000003.png
https://pbs.twimg.com/media/EUXjWMvWAAAqiOh.jpg	saude202003_n_00033_00000004.jpg
https://pbs.twimg.com/media/EUXiGd4UwAgO7NW.jpg	saude202003_n_00033_00000005.jpg
https://pbs.twimg.com/media/EUXiGcAVAAEw7Et.jpg	saude202003_n_00033_00000006.jpg
https://pbs.twimg.com/media/EUXgj_3XQAEl4gL.jpg	saude202003_n_00034_00000001.jpg
https://pbs.twimg.com/media/EUXfnI9XYA0eV3b.jpg	saude202003_n_00034_00000002.jpg
https://pbs.twimg.com/media/EUXfFauXQAE_wrG.jpg	saude202003_n_00035_00000001.jpg
https://pbs.twimg.com/media/EUXerRlWkAEoLo7.jpg	saude202003_n_00035_00000002.jpg
https://pbs.twimg.com/media/EUXeiPbXYAEuhFx.jpg	saude202003_n_00035_00000003.jpg
https://pbs.twimg.com/media/EUXc4qkWoAASq3E.jpg	saude202003_n_00035_00000004.jpg
https://pbs.twimg.com/media/EUXbMe-WkAEo-rL.jpg	saude202003_n_00036_00000001.jpg
https://pbs.twimg.com/media/EUXaKG8XQAEKF9c.jpg	saude202003_n_00036_00000002.jpg
https://pbs.twimg.com/media/EUXZTioWoAEPuvb.jpg	saude202003_n_00036_00000003.jpg
https://pbs.twimg.com/media/EUXYi5aWAAE1thc.jpg	saude202003_n_00037_00000001.jpg
https://pbs.twimg.com/media/EUXL1bnX0AQypug.jpg	saude202003_n_00041_00000001.jpg
https://pbs.twimg.com/media/EUXLw3EWoAAHmVi.jpg	saude202003_n_00041_00000002.jpg
https://pbs.twimg.com/media/EUXLTqgXYAEjd-9.jpg	saude202003_n_00041_00000003.jpg
https://pbs.twimg.com/media/EUXLULoWoAApS5s.jpg	saude202003_n_00041_00000004.jpg
