_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,loaded,factor,pole
v000023,-0.169942048,-0.212591333,-0.078633578,-0.142919635,-0.043422523,-0.010797109,0.9976741595,1,fac7,1
v000024,0.0422045545,-0.125590364,-0.098280515,-0.240574725,0.0564456284,0.3445751504,0.7428618244,1,fac7,1
v000025,-0.069362966,-0.019453163,-0.04911014,-0.13345817,-0.025592683,-0.030959085,0.3647294855,1,fac7,1
v000026,-0.004323911,0.067309292,0.1011268869,-0.153292082,-0.050321508,-0.217147133,-0.139831511,0,,
v000027,-0.023141769,-0.01298677,0.0011421704,-0.136391518,-0.040631798,-0.258891621,-0.147645501,0,,
v000028,0.0150605745,0.0285242136,-0.024573608,-0.028893596,0.0022878298,-0.259508039,-0.017121974,0,,
v000029,0.6118119483,-0.138385673,-0.144685307,-0.182561317,-0.089848838,0.2278399968,-0.345950423,1,fac1,1
v000030,0.0941176702,0.1325207722,0.0495346719,-0.286397342,0.0276316471,-0.304498929,-0.163364264,1,fac6,-1
v000031,0.0296177007,0.2223420131,0.1097237067,-0.125662985,-0.163122284,0.0121721435,0.4296633118,1,fac7,1
v000032,0.0018011028,0.3576910903,-0.019645714,-0.04895356,-0.039097821,-0.298077787,-0.122601019,1,fac2,1
v000033,-0.285961355,-0.236909326,0.0659050588,0.0432683443,-0.226389831,-0.461092764,0.2503678422,1,fac6,-1
v000034,-0.28249122,-0.144107648,0.0335843269,0.1116571749,-0.047167652,-0.25657528,0.2984009805,0,,
v000035,-0.054022461,-0.111307587,-0.006548753,0.1114141457,-0.088067601,-0.390900266,-0.038591878,1,fac6,-1
v000036,-0.10238817,0.3638987107,-0.313637514,-0.039506437,-0.111409718,0.0476239601,-0.207668701,1,fac2,1
v000037,0.7166532728,-0.249718416,-0.113933227,0.0222826921,0.1339934449,-0.153876594,-0.057223058,1,fac1,1
v000038,0.7400430803,-0.171996314,0.0997144815,-0.051787394,-0.005707355,-0.148542171,-0.233477128,1,fac1,1
v000039,-0.078317403,-0.219200874,-0.245468963,-0.314753456,-0.148008461,-0.353348103,-0.270568049,1,fac6,-1
v000040,-0.205236187,0.0125612466,-0.271965838,-0.157772182,0.3670396037,0.8347438009,-0.302011157,1,fac6,1
v000041,-0.133126824,-0.029084442,-0.008160504,-0.159930839,0.4940409678,0.2250563377,-0.098352848,1,fac5,1
v000042,-0.201619595,0.1222347128,0.3374482246,-0.348964943,-0.44549258,-0.281571935,0.0033817994,1,fac5,-1
v000043,0.033153011,-0.034720423,-0.425786586,0.8170301377,0.1923489486,0.2104425748,0.0266993559,1,fac4,1
v000044,0.0883426917,-0.037651311,0.0198723663,0.0259371276,-0.02773306,-0.301847189,-0.056119532,1,fac6,-1
v000045,-0.108057526,-0.168847885,-0.223504504,-0.275429249,-0.133817946,-0.449221872,-0.205332542,1,fac6,-1
v000046,0.8431179153,-0.161343225,0.0834136169,-0.023774098,-0.042366759,-0.040538045,-0.196578639,1,fac1,1
v000047,-0.019254526,-0.114477679,0.0330929499,-0.099302484,-0.068420684,-0.544208514,-0.133969678,1,fac6,-1
v000048,-0.017632763,-0.064626204,0.0057362961,-0.100516013,-0.063038279,-0.446982379,-0.080780079,1,fac6,-1
v000049,-0.021507313,-0.071817261,-0.038476978,-0.058765518,-0.003597261,-0.483247875,-0.115571999,1,fac6,-1
v000050,0.5486986961,-0.139925306,0.0160878312,-0.0043547,0.0167082112,-0.301044768,-0.247562517,1,fac1,1
v000051,-0.281171553,-0.407764236,-0.157401151,-0.505214409,-0.025321972,0.3919261994,-0.395771097,1,fac4,-1
v000052,-0.264115696,-0.432452373,0.9088157003,0.2289830633,-0.068801606,0.0484512813,-0.065928102,1,fac3,1
v000053,-0.136987675,-0.279033304,0.1989232373,-0.294281431,0.3341496287,0.0756041844,-0.100462037,1,fac5,1
v000054,0.3359951689,0.0375063253,0.1050786017,0.0619609244,0.0374589316,0.0975672781,0.3708211058,1,fac7,1
v000055,0.525426879,0.0534390475,0.1923218991,0.0366455826,-0.034986374,0.3077307323,0.5846260649,1,fac7,1
v000056,0.6267172178,-0.012555393,0.1314977601,0.1137979312,0.1258159756,0.430370564,0.6204970103,1,fac1,1
v000057,0.7395629585,0.0060676809,0.242220894,0.102913206,0.1086153085,0.3687124356,0.6317256749,1,fac1,1
v000058,0.7747520321,-0.031044662,0.1923055721,0.0801168985,0.0145627244,0.3394273466,0.5179076705,1,fac1,1
v000059,0.2917045739,-0.164818091,0.0712947888,-0.011597025,-0.040019021,0.1440910124,0.8566292757,1,fac7,1
v000060,-0.36807412,-0.235774486,-0.111840513,-0.145131147,-0.047605928,0.252161795,1.4151680393,1,fac7,1
v000061,-0.035642038,0.2363122034,-0.085849929,0.394552978,-0.032051029,0.139638385,-0.065863212,1,fac4,1
v000062,0.0811175602,-0.053987962,-0.013248824,0.0001831474,-0.035631149,-0.346494876,-0.099975158,1,fac6,-1
v000063,0.3107818375,-0.083082105,-0.164708923,-0.511802068,0.1269148262,1.120181233,0.0677762979,1,fac6,1
v000064,0.3362764175,-0.08112612,-0.270457444,-0.238629158,-0.237393734,1.1777104334,0.2158099228,1,fac6,1
v000065,0.2830219321,-0.025838177,-0.094380282,-0.272584093,-0.152104688,0.6375539464,0.2880657227,1,fac6,1
v000066,-0.008178687,0.0035620245,0.0210438454,-0.055569884,-0.044961349,-0.33423218,-0.052462527,1,fac6,-1
v000067,0.0565388544,0.2348733282,-0.305025577,0.0817240822,0.0187461605,0.0679949253,-0.065856325,1,fac3,-1
v000068,-0.309343149,-0.212276103,-0.596172154,-0.169286674,-0.057846717,-0.291832823,-0.046451982,1,fac3,-1
v000069,-0.309841609,-0.172888096,-0.563789761,-0.1988777,-0.031381706,-0.244632111,-0.070976501,1,fac3,-1
v000070,-0.063150897,0.3392093577,-0.063296361,0.1028367623,-0.034332137,-0.047733491,-0.036898915,1,fac2,1
v000071,0.0450311542,-0.046278145,-0.021217001,0.7543248248,0.0134535671,0.0639049249,-0.036806705,1,fac4,1
v000072,0.1112782381,-0.209550313,0.176320189,-0.411899847,-0.256239799,0.0451638148,-0.194971499,1,fac4,-1
v000073,-0.473194161,-0.258638565,-0.847715352,0.2930048824,-0.17291311,0.0151366343,-0.106819916,1,fac3,-1
v000074,-0.239345727,-0.12116657,-0.919547764,0.127457989,0.1047680229,0.2074634342,-0.033985825,1,fac3,-1
v000075,-0.019139897,0.0727186955,0.1535538333,-0.182597111,-0.034746122,-0.207523475,-0.155641196,0,,
v000076,-0.427835288,0.1385741596,-0.118010073,-0.219862118,-0.455173219,0.482318751,-0.141290922,1,fac6,1
v000077,-0.122523467,-0.294456421,-0.584777449,-0.091691546,0.047173209,-0.25862693,0.072190446,1,fac3,-1
v000078,0.3331649592,-0.075453505,-0.115989646,-0.311515611,-0.265850801,0.2865437697,-0.311450917,1,fac1,1
v000079,-0.429164341,-0.433183571,-0.941331547,-0.099714162,-0.035640003,-0.271226208,0.1780824555,1,fac3,-1
v000080,-0.005845208,-0.061685182,-0.016174759,-0.005765239,-0.006174734,-0.260139022,0.1250085643,0,,
v000081,-0.005079387,0.0855690155,-0.01627895,-0.080488573,-0.157068788,-0.02475829,-0.055897898,0,,
v000082,-0.418166011,-0.220259047,0.4241031337,0.3242555228,-0.211345843,0.3115306427,-0.103864726,1,fac3,1
v000083,0.3419668002,-0.241106716,-0.134888719,1.1135372764,-0.015404902,0.0528637423,-0.359791727,1,fac4,1
v000084,-0.170061479,0.5468584987,-0.177046586,0.0892511108,0.0484081078,0.0845762665,-0.058540876,1,fac2,1
v000085,-0.051615147,0.2848058913,-0.24836746,0.1900133531,0.1167886302,0.0601643153,-0.00797908,0,,
v000086,-0.02095284,0.2680262565,-0.217410724,0.1918017508,0.1484972544,0.1285312378,0.0138639006,0,,
v000087,-0.069418038,0.1844001899,-0.172457665,0.1696395664,0.0656425693,-0.122371473,-0.083015621,0,,
v000088,-0.010009659,0.0065325866,-0.011991039,-0.139530227,-0.028759957,-0.130474347,-0.046102553,0,,
v000089,-0.2749466,-0.014451696,0.2175400966,0.0820532899,-0.414396439,0.1419327926,-0.010780659,1,fac5,-1
v000090,-0.181685364,-0.295969772,-0.798680711,-0.158449252,-0.208578201,0.2787182625,-0.149762444,1,fac3,-1
v000091,0.7384600517,-0.049576073,-0.042033123,-0.078963867,-0.132036156,0.4340959391,0.0091136261,1,fac1,1
v000092,0.5450838625,-0.083913728,-0.074534067,-0.077029404,-0.161572055,0.1155415161,-0.160492176,1,fac1,1
v000093,0.6827928126,-0.033916081,-0.052387381,-0.080241926,-0.132736579,0.4066842081,-0.015969192,1,fac1,1
v000094,0.6827928126,-0.033916081,-0.052387381,-0.080241926,-0.132736579,0.4066842081,-0.015969192,1,fac1,1
v000095,0.7366058295,-0.037439912,-0.042718026,-0.080974856,-0.132774443,0.4390644456,0.0080300511,1,fac1,1
v000096,0.7292763674,-0.040005344,-0.034539894,-0.073233853,-0.146859187,0.4722495346,0.0070404842,1,fac1,1
v000097,0.5449426877,-0.057978682,-0.068387303,-0.049118283,-0.118152579,0.105164626,-0.110018852,1,fac1,1
v000098,0.7362076181,-0.043322894,-0.041016395,-0.073994711,-0.125773521,0.4408449253,-0.004687852,1,fac1,1
v000099,-0.392475939,-0.296950411,-0.866779913,0.0365646814,-0.000013458,0.0800658181,0.3029163095,1,fac3,-1
v000100,0.2997684417,-0.097632161,0.0050614496,-0.064849303,0.0413391803,0.0253456922,-0.005668588,0,,
v000101,0.0069084666,-0.040201175,-0.034393355,-0.031946014,-0.027445674,-0.248250312,0.1258500763,0,,
v000102,0.5262794418,-0.2206013,-0.035800419,-0.089980372,-0.013351135,-0.232060404,-0.119403126,1,fac1,1
v000103,0.2561906463,-0.141324219,-0.003988811,0.0016317174,-0.375101057,0.3492795737,-0.140529911,1,fac5,-1
v000104,0.0388239368,-0.086245159,-0.055850235,0.088689381,-0.273913729,0.1333385442,-0.275162377,0,,
v000105,0.0457793631,-0.085124262,0.0647710555,1.0671735244,-0.017405539,0.4143987324,0.0555479236,1,fac4,1
v000106,-0.046690934,-0.040274125,-0.042367013,-0.091628525,0.2808331429,-0.131202954,-0.041953122,0,,
v000107,-0.3680448,-0.447926234,1.0179471169,0.1330596032,-0.204015987,0.1106080551,0.0020453597,1,fac3,1
v000108,-0.135406168,-0.199945302,-0.329023144,-0.179328172,-0.384013469,0.1609687404,-0.331470834,1,fac5,-1
v000109,-0.054243854,-0.200391758,-0.08541494,0.966387779,0.0301572892,0.389180719,-0.077230792,1,fac4,1
v000110,0.045842863,0.0491257935,0.0436374674,-0.035992132,0.0821966271,-0.4388793,-0.102002033,1,fac6,-1
v000111,-0.148510651,0.6168906546,0.1903372241,-0.362255667,-0.359510469,0.0995748449,0.2432334998,1,fac2,1
v000112,-0.032453411,-0.12784567,-0.094656972,-0.147709826,-0.045446826,0.4163633275,0.9771601601,1,fac7,1
v000113,-0.377983276,-0.290810674,-0.912157442,-0.01216449,-0.053614151,0.0997351553,0.0056604264,1,fac3,-1
v000114,-0.148790109,-0.225549807,-0.280629361,-0.198812911,-0.087365967,-0.459497446,0.1473356228,1,fac6,-1
v000115,0.0335543184,-0.064087949,-0.078073249,0.8770354875,0.0200889105,-0.047344773,-0.151150819,1,fac4,1
v000116,0.0370698405,-0.011715934,-0.051645091,0.8133374462,-0.011354998,-0.068813456,-0.130448501,1,fac4,1
v000117,-0.371715078,-0.307801219,-0.247504266,-0.173357214,-0.04250208,0.0002859317,1.1753061724,1,fac7,1
v000118,-0.097097035,0.0666889166,-0.026560346,-0.036474864,-0.065595048,-0.395677411,-0.115469653,1,fac6,-1
v000119,-0.211008605,-0.217113664,0.342246484,-0.111785719,-0.053903151,-0.361639514,-0.101186385,1,fac6,-1
v000120,-0.037238555,-0.035769247,0.1131207166,0.0382851498,-0.053657502,-0.155783102,0.1403040034,0,,
v000121,-0.098423511,-0.151597229,0.4167907314,-0.071262602,0.0556509175,0.0086529514,-0.025176603,1,fac3,1
v000122,0.0215157602,-0.038036108,-0.095781893,-0.437332554,-0.480379529,0.7536405235,-0.269709403,1,fac6,1
v000123,-0.212957612,0.5252983349,0.290598868,-0.197111818,-0.013073038,-0.212656808,-0.356791915,1,fac2,1
v000124,-0.018898865,0.4667280749,0.066199594,-0.140733809,-0.008899894,-0.268761569,-0.147626227,1,fac2,1
v000125,-0.035049109,0.4285786539,0.1268324152,-0.240729545,-0.095016111,-0.070614452,-0.067303051,1,fac2,1
v000126,-0.346883917,-0.233349268,-0.859377841,0.476748332,-0.083420878,0.2955529779,-0.008515531,1,fac3,-1
v000127,0.0917961798,0.0202062701,-0.017711993,-0.007814824,0.0018258189,-0.061075343,0.0827381823,0,,
v000128,0.3035016854,-0.133530491,-0.094819562,-0.12170891,-0.076751492,-0.090225677,-0.110417206,1,fac1,1
v000129,-0.370372614,-0.239271349,-0.831914476,0.0751247337,-0.015935082,-0.128805954,-0.028662454,1,fac3,-1
v000130,-0.117760604,-0.261616408,0.2317494043,0.0011513507,0.4109145938,-0.095341118,-0.042149642,1,fac5,1
v000131,0.0135176903,-0.149495976,-0.040598723,1.1711670044,0.0956565865,0.230269228,-0.015234282,1,fac4,1
v000132,0.3331335945,-0.091883993,0.0429314411,-0.058603635,0.0216456478,-0.337697176,-0.214008496,1,fac6,-1
v000133,1.2280465121,-0.22330034,0.1724573239,0.0338211165,0.0565287564,0.0473170414,-0.156709066,1,fac1,1
v000134,-0.150471621,-0.167888279,-0.214779977,-0.107471104,0.0044025703,-0.496986419,0.1195565821,1,fac6,-1
v000135,0.4111901763,-0.028140869,0.1177948667,0.0737276335,-0.006974163,0.0533418386,0.3777448542,1,fac1,1
v000136,0.7490905495,-0.054264571,0.0911739312,-0.064364502,-0.181925388,0.5122556481,0.2321361845,1,fac1,1
v000137,-0.388651421,-0.531447131,0.9501840687,0.1207015291,0.2643203076,0.2009063941,0.0235743527,1,fac3,1
v000138,-0.015245731,-0.130463268,0.2524491603,0.645446352,-0.12863033,0.1697803205,-0.064131386,1,fac4,1
v000139,-0.256118274,-0.245513046,0.3769330789,0.1634083511,-0.365161967,-0.120288453,-0.114010733,1,fac3,1
v000140,0.1375836898,-0.034605973,0.0249008779,-0.035478,-0.002418522,-0.138607613,0.0649841683,0,,
v000141,-0.112102132,-0.077051212,-0.083115703,-0.062099896,0.034201273,-0.0387896,0.4893413151,1,fac7,1
v000142,-0.006132243,-0.111112745,0.0884158162,0.0234684458,0.4393193906,0.0850648794,0.1719755679,1,fac5,1
v000143,-0.050617712,-0.122158324,0.3948258437,0.2789043655,-0.182094172,0.021324403,0.0488754001,1,fac3,1
v000144,-0.280233808,-0.151721342,-0.879103987,-0.100482055,-0.12824384,0.153719953,-0.221971253,1,fac3,-1
v000145,0.6548296002,-0.179485188,0.0913330121,0.0004948103,0.0214114061,-0.288336383,-0.127647954,1,fac1,1
v000146,-0.153062864,-0.095210745,0.1670244586,-0.072251026,0.0647413457,0.0700893769,0.0004245917,0,,
v000147,-0.128964415,-0.07485725,0.1575863174,-0.111455951,0.0949146041,0.1499459365,0.0902891137,0,,
v000148,-0.135430262,-0.103835902,0.2354005826,-0.049521995,0.1468237518,0.1918888772,0.1106182719,0,,
v000149,-0.194618885,0.1713810908,0.1027689762,-0.243266476,-0.317921603,-0.045564277,0.1169605939,1,fac5,-1
v000150,0.0015967321,0.0877077295,-0.050993677,-0.091756289,-0.039939973,-0.054353432,-0.017251928,0,,
v000151,0.3941521294,-0.216383161,0.0849647434,-0.21797809,0.3530934874,-0.178943414,-0.28912932,1,fac1,1
v000152,-0.126971889,-0.052494159,-0.139817034,0.0105441462,0.0792957296,-0.217692017,0.0396159866,0,,
v000153,0.0484669514,0.0191306212,-0.091466775,-0.303587772,-0.218089857,0.0045304273,-0.195662604,1,fac4,-1
v000154,-0.466600754,0.4055214398,0.0954597019,-0.336784207,-0.77208181,0.4258339606,-0.111546666,1,fac5,-1
v000155,-0.058364846,0.2977182668,-0.043336963,-0.09168502,-0.073448866,-0.454142567,-0.222847862,1,fac6,-1
v000156,0.5977536643,-0.008085192,0.1573957634,0.0472323734,-0.026889893,0.2449356677,0.4907203704,1,fac1,1
v000157,0.4216981828,0.0889130042,0.1826719417,0.1148311641,0.0369117734,0.3115178656,0.5237068406,1,fac7,1
v000158,0.1871984755,0.1919111869,0.0183772896,0.1457358588,0.1271668064,0.2462203743,0.3349019393,1,fac7,1
v000159,-0.060581441,0.0350987406,0.1054501002,-0.2211726,-0.161003885,-0.448802469,-0.094017077,1,fac6,-1
v000160,-0.026071312,0.1863797233,0.1299935442,-0.246041767,-0.160456966,-0.277322346,-0.09322062,0,,
v000161,-0.141635515,-0.193413843,-0.153862324,-0.122351275,0.0550503553,-0.031816186,0.9957136319,1,fac7,1
v000162,-0.043953877,-0.131956078,-0.178984022,-0.086583322,0.0337762999,-0.386221575,0.1715170908,1,fac6,-1
v000163,-0.259586518,-0.07118079,-0.259553359,-0.073608868,-0.392757297,0.087981367,-0.057949182,1,fac5,-1
v000164,-0.017171857,0.0163836409,0.0334348055,0.0733579166,-0.055498548,-0.140644365,0.0893779462,0,,
v000165,-0.219423192,-0.140203095,0.0580408915,-0.079947582,-0.144393794,-0.271339402,0.400262401,1,fac7,1
v000166,-0.136184286,0.0429550344,0.0776312853,-0.443988867,0.6044436795,0.5745289539,0.2779026795,1,fac5,1
v000167,-0.381104066,-0.196682437,-0.229436836,0.0236999172,-0.480223275,0.0387181946,-0.246101146,1,fac5,-1
v000168,0.0182805666,-0.110899461,-0.030051006,-0.138971317,-0.157150326,-0.540764325,-0.204032203,1,fac6,-1
v000169,-0.273541926,-0.035100671,-0.003672633,-0.047040654,-0.455268707,0.0448877821,-0.242444219,1,fac5,-1
v000170,-0.071588155,-0.122194542,-0.02613637,0.1540455762,-0.101618567,-0.398451269,-0.050024646,1,fac6,-1
v000171,-0.219701262,-0.164435374,0.372810113,-0.515663274,0.6249055714,0.4964188858,-0.403720658,1,fac5,1
v000172,0.0496056402,-0.062404087,-0.080196198,-0.192614448,0.0109594664,0.0377165606,0.0311930683,0,,
v000173,-0.059856179,-0.170750215,0.4019405368,0.9784343589,-0.178790656,-0.011117189,-0.150037832,1,fac4,1
v000174,-0.348407449,-0.09040256,-0.248961153,-0.077703152,-0.35566356,0.2406992312,-0.087393666,1,fac5,-1
v000175,-0.049747164,0.6310733897,0.0329745147,-0.130834416,-0.047716822,-0.293237041,-0.192302441,1,fac2,1
v000176,-0.143719429,0.9309735601,0.0266030072,-0.163278284,-0.036513315,0.0769253273,-0.042570525,1,fac2,1
v000177,-0.182320603,0.9849911859,0.0544687109,-0.193277652,-0.057175115,0.0703862988,-0.093119815,1,fac2,1
v000178,-0.222566951,0.9721648043,0.0454411528,-0.23013946,-0.043315922,-0.13110591,-0.227329539,1,fac2,1
v000179,-0.062027745,0.5145471802,-0.303400021,0.3413132979,-0.026373267,0.559931003,-0.228765391,1,fac6,1
v000180,-0.124526889,-0.244236921,0.8036888251,0.7831728612,-0.156260445,0.2454070723,-0.043895898,1,fac3,1
v000181,0.1866622639,-0.039629327,-0.013228405,-0.072480743,-0.187438078,0.0084399053,-0.167777613,0,,
v000182,-0.017903086,0.0395477441,-0.042347364,0.1825583446,-0.011320139,-0.225606626,-0.074001338,0,,
v000183,1.3750570717,-0.25240211,0.109146294,-0.17967466,-0.138490846,0.3837547961,-0.326921552,1,fac1,1
v000184,0.8481494102,-0.097488661,0.1708015552,0.0898273122,0.0504959504,0.2424723118,0.3674946218,1,fac1,1
v000185,0.8345212562,-0.404660912,-0.135354768,-0.112664435,-0.069874739,-0.255615281,-0.297704516,1,fac1,1
v000186,-0.138123957,-0.106641386,-0.149920555,-0.254296663,0.8561861244,0.1788592119,-0.214641424,1,fac5,1
v000187,0.109305244,-0.143706075,-0.013739894,-0.093177739,-0.095246766,-0.390936236,-0.160447464,1,fac6,-1
v000188,-0.123253205,-0.101841313,-0.098810869,-0.260172963,0.8800972344,0.3188116276,-0.125670678,1,fac5,1
v000189,0.1215179422,0.663899051,0.2384605784,-0.569008061,0.0703655883,1.0021445802,0.1831564505,1,fac6,1
v000190,-0.053297757,-0.094500474,0.1356740281,-0.033510475,-0.08967903,-0.2099932,-0.022340626,0,,
v000191,-0.315653549,1.2107435936,-0.029671751,0.211011412,0.0402055317,0.4130711061,-0.025971546,1,fac2,1
v000192,-0.185438542,-0.112185621,0.0107947572,-0.054990759,-0.073907401,-0.324328072,0.3254716454,1,fac7,1
v000193,-0.015988338,0.0608843005,0.1481386836,0.4577221148,-0.153413127,-0.28047445,-0.145775962,1,fac4,1
v000194,-0.141991725,-0.241566569,0.4331702653,-0.319274425,-0.307812758,0.6604867053,-0.381591826,1,fac6,1
v000195,-0.051551368,-0.246672524,-0.249326822,-0.110550111,0.0337699334,-0.319179967,0.4090128876,1,fac7,1
v000196,-0.357146288,-0.429326313,-0.912542594,-0.109406709,0.0525621055,-0.267303361,0.2679920741,1,fac3,-1
v000197,-0.300211245,-0.307870588,-0.630737443,-0.131308804,0.0088664279,-0.407818819,0.0433491141,1,fac3,-1
v000198,-0.338590167,-0.438358435,0.9904088288,-0.055883398,0.0207338702,0.3791704541,-0.024661411,1,fac3,1
v000199,-0.027994322,-0.008025938,0.0525451977,-0.103354352,-0.041011477,-0.364915921,-0.067271858,1,fac6,-1
v000200,-0.35571928,-0.208690522,0.5143867352,-0.248261367,0.6775581142,0.4233088795,-0.236514769,1,fac5,1
v000201,-0.067776134,-0.15690833,0.0393465168,0.4610909755,0.1077828513,-0.053865494,-0.02487841,1,fac4,1
v000202,-0.257932078,-0.213624763,0.8515149872,0.4433114738,-0.389351373,0.1799079011,-0.047990105,1,fac3,1
v000203,-0.082880718,-0.083556124,0.0670460792,0.1758673106,-0.114583605,-0.220160075,0.0063513313,0,,
v000204,-0.201313533,0.3293617607,-0.258553164,0.2432123158,0.4986744238,0.6707079888,0.0614068593,1,fac6,1
v000205,-0.053732959,-0.033355386,0.1187229147,-0.112445835,-0.118395414,-0.280982684,-0.075296824,0,,
v000206,-0.094435946,-0.109454465,-0.030087976,-0.033202931,-0.082184111,-0.45878064,-0.065691871,1,fac6,-1
v000207,1.2495645546,-0.196563176,0.167357988,-0.030411801,0.0585896304,-0.011044452,-0.2377546,1,fac1,1
v000208,0.1792960809,-0.034958411,0.0361475332,-0.147062286,-0.135265294,0.3073372718,0.8810106832,1,fac7,1
v000209,-0.017942333,-0.131438409,0.1045643588,-0.037417366,1.1874965656,0.4240676182,-0.053837288,1,fac5,1
v000210,-0.245002782,-0.119940588,-0.091184786,-0.406275258,-0.39922841,0.1447765552,-0.299433895,1,fac4,-1
v000211,0.801259816,-0.170042608,0.1490750836,0.0665218739,-0.00475191,0.0297751093,0.2065498594,1,fac1,1
v000212,0.0649449732,0.1028656059,0.0847255703,-0.093613808,-0.116525487,-0.02101864,0.4316146241,1,fac7,1
v000213,0.0305140171,-0.301235967,0.5192605328,-0.312755684,0.6172897422,0.2165657092,-0.317881119,1,fac5,1
v000214,0.714020393,-0.10590174,0.1328489797,-0.099484717,0.0151231829,-0.161584558,-0.164061377,1,fac1,1
v000215,-0.220614673,0.0261062541,0.1148205295,-0.180692901,1.1988179071,0.3424322245,-0.102964465,1,fac5,1
v000216,-0.016615459,0.0752017769,-0.190919704,-0.001509617,1.1035864019,0.3114972424,0.0853460708,1,fac5,1
v000217,-0.142792727,0.1187870889,-0.088409398,-0.131770882,1.1092407053,0.2729706533,-0.087064707,1,fac5,1
v000218,-0.102539852,-0.044399631,0.0357030976,-0.009705933,1.1345174426,0.3198666125,0.0459042896,1,fac5,1
v000219,-0.059710081,0.0837520472,-0.208195061,0.0003138287,1.1159318472,0.1678242145,-0.025006946,1,fac5,1
v000220,-0.149111514,0.201991588,-0.105754312,-0.080815458,1.0180340537,0.2719140699,-0.044700286,1,fac5,1
v000221,-0.047922603,-0.08561871,-0.149832794,-0.060714812,0.9920241496,0.1734972505,-0.020291723,1,fac5,1
v000222,-0.014046528,-0.128344574,-0.129603507,0.0486189423,0.6225747639,-0.291594361,-0.046929178,1,fac5,1
v000223,-0.152987874,-0.138979856,-0.154225276,0.114301355,-0.142086195,-0.177672005,-0.196187491,0,,
v000224,0.677288189,-0.042041331,0.0404482162,-0.132232129,-0.070613227,0.0601303529,-0.179358987,1,fac1,1
v000225,1.0561863065,-0.34162187,-0.108195148,-0.023396062,0.0576266622,-0.149583491,-0.261171321,1,fac1,1
v000226,-0.264636629,-0.413884035,0.3844017184,-0.373850581,0.7205739325,0.1653309687,-0.210301938,1,fac5,1
v000227,-0.160304278,-0.292141643,0.3082766356,-0.30448758,0.7132862806,0.1945617854,-0.067404874,1,fac5,1
v000228,-0.006603113,0.0872362308,0.0356858341,-0.138840229,-0.096908742,-0.115673376,0.1684494607,0,,
v000229,-0.078263062,-0.088127803,-0.114966502,-0.072747288,-0.002485615,-0.400690387,0.1143583894,1,fac6,-1
