_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,loaded,factor,pole
v000001,-0.444692959,0.201993672,-0.789004811,0.6136000966,-0.128674237,0.4927003874,-0.265513142,1,fac3,-1
v000002,-0.190984516,-0.291549289,0.2302395238,-0.315222901,0.4738000696,0.0541639061,-0.142107214,1,fac5,1
v000003,0.0455076345,-0.146808633,0.006248656,-0.279759908,0.4910299483,-0.017075438,-0.272872467,1,fac5,1
v000004,-0.31792493,-0.024311961,-0.18673983,0.3551583826,-0.248331314,0.2118035798,-0.135793303,1,fac4,1
v000005,-0.46319842,-0.309521232,-0.872280532,-0.25635577,-0.167317088,-0.033280312,-0.157825664,1,fac3,-1
v000006,-0.291749494,-0.192410194,-0.892541953,0.5299364985,0.0558038002,0.258836124,0.0914002169,1,fac3,-1
v000007,0.1873688638,-0.154866087,0.1287957556,-0.036569038,0.0805939666,0.0572052081,0.1124079491,0,,
v000008,0.526549547,-0.338660676,-0.006810758,-0.152274202,-0.07988985,-0.218823536,0.1917018372,1,fac1,1
v000009,-0.400876778,-0.200487943,-0.106771541,-0.186189758,-0.077287291,0.1974227026,1.3515373771,1,fac7,1
v000010,-0.260436772,-0.282173799,0.0324910956,-0.144517967,-0.074235502,0.0345042619,1.1751238552,1,fac7,1
v000011,-0.051587494,-0.115488692,0.0215376618,0.3697978682,-0.067420434,-0.205831167,-0.057430635,1,fac4,1
v000012,-0.107239628,-0.113377744,0.0021793819,-0.283900907,-0.286258416,-0.594393578,-0.173287084,1,fac6,-1
v000013,-0.116606954,-0.045396282,-0.015717984,-0.132436649,-0.147287936,-0.460546989,-0.075282881,1,fac6,-1
v000014,-0.140748678,0.0591063439,0.2148797867,-0.237084423,-0.299657814,-0.28706528,0.0582824645,0,,
v000015,-0.367812228,-0.240929983,-0.161354334,-0.142259884,-0.034070061,0.2537323928,1.3695020508,1,fac7,1
v000016,-0.264873574,-0.226812615,-0.050934526,-0.142879886,-0.060337124,0.0125428138,1.1164857976,1,fac7,1
v000017,-0.379878466,-0.176431863,-0.114466201,-0.190709273,-0.065236785,0.2556482668,1.4130753235,1,fac7,1
v000018,-0.156903983,-0.011263804,-0.065187218,-0.031061629,0.0307341936,0.1283377016,0.7359465388,1,fac7,1
v000019,-0.193350291,-0.180771818,-0.066477933,-0.123057607,-0.013487303,0.1617370068,1.1691971278,1,fac7,1
v000020,-0.346119445,-0.23842275,-0.175944397,-0.11285463,0.0045093062,0.2691622078,1.374358484,1,fac7,1
v000021,-0.341011463,-0.233333948,-0.18072095,-0.126605241,0.0069232645,0.2569503655,1.3648441731,1,fac7,1
v000022,-0.026027271,-0.16938126,-0.062080486,-0.274900177,0.0280613846,0.4088107482,1.0374913887,1,fac7,1
