_NAME_	COMMUNAL
v000941	0.5743042376
v000842	0.6959206571
v000408	0.6986028166
v000070	0.7690521746
v000028	0.8279180206
v000722	0.8324562265
v000127	0.8389824196
v000190	0.9128749703
v000375	1.0546366796
v000809	1.0606600099
v000641	1.1316806465
v000081	1.1392511595
v000311	1.153621601
v000688	1.1604891917
v000465	1.163014318
v000343	1.1863202737
v000253	1.1983096017
v000534	1.2091381431
v000719	1.2091923033
v000049	1.2681952114
v000392	1.2744167213
v000118	1.2822903456
v000541	1.2970271343
v000457	1.307035891
v000705	1.3196343151
v000658	1.3222912365
v000960	1.3347317525
v000400	1.3391256744
v000384	1.3615399125
v000699	1.3808270309
v000378	1.4059122578
v000429	1.4071922121
v000510	1.4258944336
v000014	1.4658697244
v000843	1.4714492576
v000471	1.482073023
v000300	1.4846309065
v000486	1.5026276462
v000870	1.5039108068
v000206	1.5088790533
v000243	1.5262202385
v000711	1.541254664
v000646	1.5720194025
v000539	1.572493283
v000533	1.5880499889
v000463	1.5905501325
v000066	1.5929821457
v000297	1.6071714568
v000732	1.6283082308
v000276	1.652358923
v000679	1.6548873579
v000307	1.6566691775
v000736	1.6751869901
v000910	1.683156583
v000436	1.6999386352
v000947	1.7112729415
v000203	1.7113303111
v000515	1.7130509614
v000933	1.7156492955
v000385	1.7355639023
v000896	1.7387504142
v000054	1.7399338378
v000199	1.7428482049
v000351	1.7528260527
v000575	1.7555276333
v000320	1.7888180608
v000182	1.7916290234
v000975	1.8005956961
v000555	1.8245056917
v000140	1.8272970122
v000799	1.8298786472
v000048	1.8334371207
v000469	1.8482301905
v000806	1.8490567334
v000262	1.8590477522
v000455	1.8686802001
v000873	1.8707929023
v000946	1.8751574077
v000106	1.8823344992
v000277	1.8879412485
v000279	1.8954444426
v000120	1.9005824628
v000633	1.9112878383
v000377	1.9137260018
v000546	1.9160483861
v000044	1.9171692267
v000212	1.9474705222
v000695	1.9572432835
v000013	1.9582731072
v000609	1.9586475945
v000616	1.9670097423
v000141	1.9672794394
v000390	1.9691165754
v000391	1.9722855243
v000035	1.9750791696
v000692	1.9780100317
v000929	1.9967693376
v000487	1.997145337
v000150	2.0001772027
v000654	2.0032470105
v000236	2.0037252724
v000733	2.004313956
v000229	2.0045400492
v000885	2.0055625188
v000266	2.0091187409
v000342	2.009300977
v000484	2.0125330662
v000753	2.0175341187
v000558	2.0176939924
v000302	2.020036178
v000680	2.0201216686
v000650	2.0214092634
v000901	2.021701307
v000529	2.0297769923
v000976	2.0328493819
v000281	2.047743307
v000172	2.0479942654
v000852	2.0498171107
v000071	2.0507485785
v000595	2.051676421
v000251	2.059335707
v000424	2.0612411995
v000462	2.0622713646
v000583	2.0735439396
v000548	2.0778822986
v000749	2.078347893
v000011	2.0804512531
v000252	2.0854362477
v000620	2.0854362482
v000339	2.0880388042
v000369	2.088475332
v000775	2.0907985367
v000815	2.0923999465
v000143	2.0978564387
